"field_order","field_id","visible_name","editable_by_human","required"
"1","operation_id","ID_OPERACION","False","True"
"2","task_id","ID_TAREA","False","True"
"3","gate_id","GATE","False","False"
"4","current_state","ESTADO_ACTUAL","False","True"
"5","proposed_action","ACCION_PROPUESTA","True","True"
"6","human_decision","DECISION_HUMANA","True","False"
"7","decision_reason","MOTIVO","True","False"
"8","responsible","RESPONSABLE","True","True"
"9","evidence_ref","EVIDENCIA","False","True"
"10","reviewed_at","FECHA_REVISION","False","False"
